time,d1_comms,d2_comms,d3_comms,archive_size
19.99518370628357,0,1,0,561
20.026376008987427,0,1,0,612
20.057743310928345,0,0,0,612
20.089017868041992,0,0,0,612
20.120255947113037,0,0,0,612
20.151938438415527,0,0,0,612
20.183313131332397,0,0,0,612
20.214510679244995,0,0,0,612
20.24646520614624,0,0,0,612
20.277812719345093,0,0,0,612
20.309006690979004,0,0,0,612
20.34087038040161,0,0,0,612
20.37220811843872,0,0,0,612
20.403472185134888,0,0,0,612
20.434854984283447,0,0,0,612
20.466792583465576,0,0,0,612
20.498065948486328,0,0,0,612
20.529376983642578,0,0,0,612
20.560863494873047,0,0,0,612
20.59210991859436,0,0,0,612
20.623384475708008,0,0,0,612
20.65507173538208,0,0,0,612
20.686439037322998,0,0,0,612
20.717682361602783,0,0,0,612
20.749525785446167,0,0,0,612
20.78087615966797,0,0,0,612
20.81220841407776,0,0,0,612
20.843942880630493,0,0,0,612
20.87529230117798,0,0,0,612
20.90661358833313,0,0,0,612
20.93830442428589,0,0,0,612
20.96960759162903,0,0,0,612
21.000783681869507,0,0,0,612
21.032086610794067,0,0,0,612
21.063884496688843,0,0,0,612
21.0951566696167,0,0,0,612
21.126441955566406,0,0,0,612
21.15842866897583,0,0,0,612
21.18961238861084,0,0,0,612
21.22096085548401,0,0,0,612
21.25266695022583,0,0,0,612
21.28402066230774,0,0,0,612
21.31519603729248,0,0,0,612
21.347025394439697,0,0,0,612
21.37834143638611,0,0,0,612
21.409591674804688,0,0,0,612
21.44091510772705,0,0,0,612
21.472333669662476,0,0,0,612
21.50350069999695,0,0,0,612
21.534806728363037,0,0,0,612
21.566483974456787,0,0,0,612
21.597761869430542,0,0,0,612
21.629080057144165,0,0,0,612
21.660616397857666,0,0,0,612
21.69178605079651,0,0,0,612
21.7231285572052,0,0,0,612
21.75493884086609,0,0,0,612
21.786377429962158,0,0,0,612
21.817475080490112,0,0,0,612
21.84929919242859,0,0,0,612
21.88064479827881,0,0,0,612
21.911898851394653,0,0,0,612
21.943275928497314,0,0,0,612
21.974622011184692,0,0,0,612
22.00591278076172,0,0,0,612
22.03725504875183,0,0,0,612
22.068929195404053,0,0,0,612
22.100205421447754,0,0,0,612
22.13153910636902,0,0,0,612
22.163012981414795,0,0,0,612
22.19427728652954,0,0,0,612
22.225563049316406,0,0,0,612
22.257290363311768,0,0,0,612
22.288636445999146,0,0,0,612
22.319880962371826,0,0,1,612
22.35191035270691,0,0,1,612
22.383299827575684,0,0,1,663
22.414506435394287,0,0,0,663
22.44635796546936,0,0,0,663
22.4777991771698,0,0,0,663
22.509031534194946,0,0,0,663
22.540252685546875,0,0,0,663
22.572009086608887,0,0,0,663
22.603249311447144,0,0,0,663
22.634521961212158,0,0,0,663
22.666254997253418,0,0,0,663
22.69764542579651,0,0,0,663
22.72880506515503,0,0,0,663
22.760712146759033,0,0,0,663
22.79201579093933,0,0,0,663
22.823177337646484,0,0,0,663
22.855015516281128,0,0,0,663
22.88635802268982,0,0,0,663
22.917624950408936,0,0,0,663
22.949376106262207,0,0,0,663
22.980790853500366,0,0,0,663
23.011993885040283,0,0,0,663
23.043713569641113,0,0,0,663
23.07504391670227,0,0,0,663
23.106229066848755,0,0,0,663
23.137512922286987,0,0,0,663
23.169363021850586,0,0,0,663
23.200686931610107,0,0,0,663
23.23185682296753,0,0,0,663
23.263386249542236,0,0,0,663
23.294694423675537,0,0,0,663
23.326008558273315,0,0,0,663
23.357542276382446,0,0,0,663
23.388887882232666,0,0,0,663
23.42006778717041,0,0,0,663
23.452004432678223,0,0,0,663
23.482828855514526,0,0,0,663
23.514344692230225,0,0,0,663
23.545832872390747,0,0,0,663
23.57712197303772,0,0,0,663
23.60846757888794,0,0,0,663
23.63961672782898,0,0,0,663
23.671506881713867,0,0,0,663
23.702760696411133,0,0,0,663
23.733973026275635,0,0,0,663
23.765957832336426,0,0,0,663
23.797669649124146,0,0,0,663
23.829011917114258,0,0,0,663
23.86100745201111,0,0,0,663
23.892330408096313,0,0,0,663
23.923608541488647,1,0,0,663
23.95500659942627,1,0,0,663
23.986366748809814,1,0,0,714
24.017550230026245,0,1,0,714
24.049360752105713,0,1,0,765
24.080627918243408,0,0,0,765
24.1119065284729,0,0,0,765
24.143158197402954,0,0,0,765
24.17509651184082,0,0,0,765
24.206296682357788,0,0,0,765
24.237548828125,0,0,0,765
24.269076585769653,0,0,0,765
24.300638675689697,0,0,0,765
24.331997632980347,0,0,0,765
24.363447666168213,0,0,0,765
24.394636869430542,0,0,0,765
24.425918579101562,0,0,0,765
24.457705974578857,0,0,0,765
24.48906660079956,0,0,0,765
24.52025008201599,0,0,0,765
24.552001237869263,0,0,0,765
24.5832622051239,0,0,0,765
24.614534378051758,0,0,0,765
24.645782232284546,0,0,0,765
24.6773624420166,0,0,0,765
24.708566188812256,0,0,0,765
24.73980951309204,0,0,0,765
24.771341800689697,0,0,0,765
24.802639722824097,0,0,0,765
24.833903312683105,0,0,0,765
24.866069078445435,0,0,0,765
24.897468090057373,0,0,0,765
24.92870831489563,0,0,0,765
24.9601047039032,0,0,0,765
24.991467475891113,0,0,0,765
25.022653102874756,0,0,0,765
25.05431628227234,0,0,0,765
25.085606575012207,0,0,0,765
25.116857051849365,0,0,0,765
25.148098945617676,0,0,0,765
25.17989158630371,0,0,0,765
25.211103439331055,0,0,0,765
25.242303371429443,0,0,0,765
25.273824214935303,0,0,0,765
25.30512809753418,0,0,0,765
25.33638572692871,0,0,0,765
25.36791968345642,0,0,0,765
25.399291038513184,0,0,0,765
25.430423259735107,0,0,0,765
25.46215057373047,0,0,0,765
25.49343228340149,0,0,0,765
25.52475595474243,0,0,0,765
25.556577444076538,0,0,0,765
25.587838411331177,0,0,0,765
25.619118213653564,0,0,0,765
25.651021242141724,0,0,0,765
25.68240475654602,0,0,0,765
